Time,Trace_1
0,-65
0.0001,-65.49006409360827
0.0002,-65.95349571481682
0.00030000000000000003,-66.40566621929875
0.0004,-66.85378666509084
0.0005,-67.29995371370723
0.0006000000000000001,-67.74326167465841
0.0007,-68.18121125898766
0.0008,-68.61063372439553
0.0009000000000000001,-69.02828555903373
0.001,-69.43121489454151
0.0011,-69.81696619046032
0.0012000000000000001,-70.18366995404394
0.0013000000000000002,-70.53005299991644
0.0014,-70.85539716738367
0.0015,-71.15946850098723
0.0016,-71.44243331433184
0.0017000000000000001,-71.70477269201194
0.0018000000000000002,-71.94720274884168
0.0019,-72.17060464474065
0.002,-72.37596594460139
0.0021000000000000003,-72.56433337886989
0.0022,-72.73677602798966
0.0023,-72.89435764745933
0.0024000000000000002,-73.0381165571859
0.0025,-73.16905167733107
0.0026000000000000003,-73.28811339704497
0.0027,-73.3961981194365
0.0028,-73.49414563214465
0.0029000000000000002,-73.5827384911108
0.003,-73.66270284657786
0.0031000000000000003,-73.7347103025344
0.0032,-73.79938041373238
0.0033,-73.8572835890484
0.0034000000000000002,-73.90894420348523
0.0035,-73.95484378083911
0.0036000000000000003,-73.99542415892438
0.0037,-74.03109056337203
0.0038,-74.06221454526343
0.0039000000000000003,-74.0891367594661
0.004,-74.11216956117345
0.0041,-74.13159943616867
0.004200000000000001,-74.14768923554776
0.0043,-74.16068022821295
0.0044,-74.17079401515365
0.0045000000000000005,-74.17823425457263
0.0046,-74.18318823964118
0.0047,-74.1858283367989
0.0048000000000000004,-74.18631331088996
0.0049,-74.1847895228803
0.005,-74.18139201518026
0.0051,-74.17624549863605
0.005200000000000001,-74.16946524330118
0.0053,-74.16115789710065
0.0054,-74.15142223211399
0.0055000000000000005,-74.14034981606227
0.0056,-74.12802562232115
0.0057,-74.11452858110898
0.0058000000000000005,-74.0999320668759
0.0059,-74.08430437946697
0.006,-74.06770916583613
0.0061,-74.0502057803879
0.006200000000000001,-74.03184962717869
0.0063,-74.01269250214723
0.0064,-73.99278285565472
0.006500000000000001,-73.9721660526658
0.0066,-73.95088463806438
0.0067,-73.92897851962691
0.0068000000000000005,-73.90648519350326
0.006900000000000001,-73.88343991947683
0.007,-73.85987587533313
0.0071,-73.83582433892019
0.007200000000000001,-73.81131478656228
0.0073,-73.78637506714702
0.0074,-73.76103148069762
0.007500000000000001,-73.73530891954546
0.0076,-73.70923094021067
0.0077,-73.68281987912937
0.0078000000000000005,-73.65609691629405
0.0079,-73.62908217242014
0.008,-73.60179476270606
0.0081,-73.574252881654
0.0082,-73.54647384518992
0.0083,-73.51847416871307
0.008400000000000001,-73.49026959573132
0.0085,-73.46187517413158
0.0086,-73.43330526944818
0.008700000000000001,-73.40457364382388
0.0088,-73.37569345203529
0.0089,-73.34667732153441
0.009000000000000001,-73.31753734905746
0.0091,-73.28828515967315
0.0092,-73.25893191929353
0.009300000000000001,-73.22948836633408
0.0094,-73.19996484104058
0.0095,-73.17037129937474
0.009600000000000001,-73.14071735403363
0.0097,-73.11101226655076
0.0098,-73.08126500306739
0.0099,-73.05148421156612
0.01,-73.02167827614426
0.010100000000000001,-72.99185531039585
0.0102,-72.96202317841993
0.0103,-72.9321895133499
0.010400000000000001,-72.90236171914391
0.0105,-72.87254700568278
0.0106,-72.84275236564092
0.010700000000000001,-72.8129846269406
0.0108,-72.78325042305752
0.0109,-72.75355623465684
0.011000000000000001,-72.72390838230433
0.0111,-72.69431303544108
0.0112,-72.66477623057422
0.011300000000000001,-72.6353038627986
0.0114,-72.60590172089191
0.0115,-72.57657545357127
0.011600000000000001,-72.54733062359
0.0117,-72.51817266705324
0.0118,-72.48910693934357
0.0119,-72.46013869441883
0.012,-72.43127310162039
0.012100000000000001,-72.40251525001129
0.0122,-72.37387014493324
0.0123,-72.34534272932736
0.012400000000000001,-72.31693786366844
0.0125,-72.28866036305875
0.0126,-72.26051495866729
0.012700000000000001,-72.23250635195453
0.0128,-72.20463915928683
0.0129,-72.17691797871004
0.013000000000000001,-72.14934732881065
0.0131,-72.12193171335737
0.0132,-72.09467556725532
0.013300000000000001,-72.06758331065754
0.0134,-72.04065930316939
0.0135,-72.01390789126563
0.013600000000000001,-71.9873333665434
0.0137,-71.96094001075248
0.013800000000000002,-71.93473205354312
0.013900000000000001,-71.90871371984733
0.014,-71.88288918217445
0.014100000000000001,-71.85726261550343
0.0142,-71.83183813876413
0.0143,-71.8066198828276
0.014400000000000001,-71.78161191537998
0.0145,-71.756818321973
0.0146,-71.7322431290538
0.014700000000000001,-71.70789037589942
0.0148,-71.68376405243917
0.0149,-71.65986815105951
0.015000000000000001,-71.6362066268276
0.0151,-71.61278341601337
0.0152,-71.5896024451441
0.015300000000000001,-71.56666759647626
0.0154,-71.54398276545102
0.0155,-71.5215517795497
0.015600000000000001,-71.49937848279944
0.015700000000000002,-71.47746666924351
0.0158,-71.45582011194479
0.0159,-71.43444257516701
0.016,-71.41333775892366
0.0161,-71.39250937424268
0.0162,-71.37196106993468
0.016300000000000002,-71.351696468477
0.0164,-71.33171918225786
0.0165,-71.31203273943868
0.0166,-71.29264066933966
0.0167,-71.27354645000692
0.016800000000000002,-71.25475349290372
0.016900000000000002,-71.23626520370038
0.017,-71.21808491023984
0.0171,-71.20021588019083
0.0172,-71.18266136527154
0.0173,-71.16542452746135
0.017400000000000002,-71.14850846209129
0.0175,-71.1319162373458
0.0176,-71.1156508291354
0.0177,-71.09971512565824
0.0178,-71.08411197547376
0.0179,-71.06884414927708
0.018000000000000002,-71.0539142943834
0.0181,-71.03932500118631
0.0182,-71.0250787926103
0.0183,-71.01117806567831
0.0184,-70.99762510797005
0.018500000000000003,-70.9844221348618
0.018600000000000002,-70.97157126931994
0.0187,-70.95907449020133
0.0188,-70.94693365455466
0.0189,-70.93515052597404
0.019,-70.92372675796743
0.019100000000000002,-70.91266386443576
0.019200000000000002,-70.90196319579576
0.0193,-70.89162598634508
0.0194,-70.88165334513234
0.0195,-70.87204624382093
0.0196,-70.8628054989198
0.019700000000000002,-70.85393173884671
0.0198,-70.84542545011551
0.0199,-70.83728697189359
0.02,-70.82951648525696
0.0201,-70.8221140053055
0.020200000000000003,-70.81507937443196
0.020300000000000002,-70.80841223594489
